video_url,description,class,audio_path,video_path,transcript,facial_expression
https://www.tiktok.com/@coeliacmamlife/video/7642763078676876566,"Love, love, love this cleanser! Texture is smooth, not scented and I’ve personally noticed a change in my skin since using this cleanser #ceravecleanser #ceraeve #fyp #coeliacmamlife #tiktokmadebuythis",pos,C:\Users\w ltsc\Desktop\tiktok_downloads\audio\7642763078676876566.wav,C:\Users\w ltsc\Desktop\tiktok_downloads\videos\7642763078676876566.mp4,"I'll give you my honest review of the CeraVe Cleanser and that is that it's amazing. For me it's really hydrating, it's great for reducing me blemishes, don't get us wrong the packaging isn't the most fancy but it does the job and that's the most important thing.",neutral
https://www.tiktok.com/@akwaugoj/video/7563696105540619541,"Skincare Review PT.1: Cerave Foaming Cleanser. This cleanser works well for normal to oily skin. Since I now have a oily-combination skin, my skin loves it. @CeraVe  #cerave #ceravefoamingcleanser #cleanserreview #ceravecleanser  Have you used this cleanser before? Let me know your thoughts…",pos,C:\Users\w ltsc\Desktop\tiktok_downloads\audio\7563696105540619541.wav,C:\Users\w ltsc\Desktop\tiktok_downloads\videos\7563696105540619541.mp4,"Don't buy this cleanser, I repeat. Don't buy this CeraVe Foaming Cleanser if you know that you have a dry skin. This is the CeraVe Foaming Cleanser with essential ceramides, niacinamide and hyaluronic acid. This cleanser is for normal to oily skin. As you all know, I have a combination skin and I've been using this cleanser for two weeks, about two weeks now and honestly my skin loves it. It is not too dry in, it is not too greasy, it feels balanced like the right amount of balance as you can see I don't have like any new breakouts on my face like I said earlier this cleanser has niacinamide which helps with oil control and skin repair. One thing our advice if you're using this cleanser is don't overload your routine with other niacinamide products like don't use too much niacinamide products in the same routine with this cleanser because obviously it would be too much and it can break you out. Besides that It is very simple, it is very effective and my skin absolutely loves it. So thank you Serabi. Now let me know your thoughts if you have used this cleanser before in the comments and I'll see you in my next video. Okay, bye.",neutral
https://www.tiktok.com/@oliviarhyin/video/7537456648680525086,My favorite face wash 🫧#facewash #skincareroutine #skincare #creatorsearchinsights  #cerave #fyp @CeraVe,pos,C:\Users\w ltsc\Desktop\tiktok_downloads\audio\7537456648680525086.wav,C:\Users\w ltsc\Desktop\tiktok_downloads\videos\7537456648680525086.mp4,"Okay hi, I just wanted to share about one of my skincare favorites. I have acne-sensitive skin, but this does not make me break out at all, and if anything it helps it. I give all thanks to the Cerebi Foaming Face Cleanser. I've been using it for probably a half a decade now, and my skin has never looked clear. Go buy it.",neutral
https://www.tiktok.com/@garbo.zhu/video/7628263557305568520,"cleanse smart, not harder with @CeraVe #cerasquad2026 #ceravepartner",pos,C:\Users\w ltsc\Desktop\tiktok_downloads\audio\7628263557305568520.wav,C:\Users\w ltsc\Desktop\tiktok_downloads\videos\7628263557305568520.mp4,"If your skin is dry, sensitive, crusty, and has these tiny bumps around your face, your makeup doesn't sit right, and you want to look like this, you need to exfoliate, but gently. I'm not talking about harsh peeling solution, just start with the salicylic acid cleanser. I use this therapy, salicylic acid cleanser, because it exfoliates your skin while you wash your face. So it's way less aggressive, but it still clears clogged pores. It's non-commodogenic, doesn't strip my skin, and it actually feels hydrating. No more tiny bumps, and now your makeup is flawless. Clean, smarter, not harder.",neutral
https://www.tiktok.com/@shiv_sewlal/video/7577652722321689874,"I loveee @CeraVe ‘s Hydrating Cleanser😍 it’s perfect if you have dry, sensitive skin like me. Find your Cleanser Match now❤️  #ceraveza, #cleanselikeaderm, @ceravecleansermatch, @cerave_africa",pos,C:\Users\w ltsc\Desktop\tiktok_downloads\audio\7577652722321689874.wav,C:\Users\w ltsc\Desktop\tiktok_downloads\videos\7577652722321689874.mp4,"Okay, I have to be very careful of which products I use on my face because my eczema is very sensitive and some products make it so bad. That's why once I find a good one, I'll always use it. I've been using CeraVe's Hydrating Cleanser for the last few years and I ain't changing. It's fragrance-free and so gentle. Also having eczema means that you have a broken skin barrier. So this is perfect for that because it has a barrier strengthening formula that is developed by the metologist. But don't worry if you don't have dry skin like me, CeraVe has a whole range of different Cleanses for like different skin types. So just check them out and see which one suits you best. Bye guys",sad
https://www.tiktok.com/@rinavibez/video/7529589177394924823,"Dry, tight skin? I started using the CeraVe Hydrating Cleanser and it’s been a game-changer for calming my face down, especially after removing makeup or during my PMDD flare-ups. It’s gentle, fragrance-free, and packed with ceramides + hyaluronic acid to support your skin barrier and lock in moisture. No tightness. No stinging. Just clean, hydrated skin that feels soft AF. Tagging @ceraveuki  because… y’all snapped with this one 👏🏽 💬 Tried this? Drop your skin type below 👇🏽 #LorealistarUK #LorealistarHydratingCleanser #CeraVe #SkinBarrierRepair #HydrationBoost #DrySkinFix #CeraVeCleanser #SkincareTikTok #FaceCleanserReview #rinavibez",pos,C:\Users\w ltsc\Desktop\tiktok_downloads\audio\7529589177394924823.wav,C:\Users\w ltsc\Desktop\tiktok_downloads\videos\7529589177394924823.mp4,"This CeraVe Hydrating Cleanser is gentle but effective. I squeezed the bit out so you can see the texture. Super creamy, no fragrance, no fuss. Rub it in like this and it just goes straight into my skin. Even with blemishes like this, it doesn't sting. I add in my water so it leathers into this soft milky foam. And then I pat dry with a disposable face cloth. And yes, I am obsessed with how clean my face feels. Look at you glow, no tightness, just hydrated, smooth skin. This always stays in my routine.",neutral
https://www.tiktok.com/@shamjhana.rijal/video/7652769563142032662,My Favorite CeraVe Hydrating Cream-to-Foam Cleanser Review@CeraVeUKI #tiktokmademebuylt #summersale #cerave #cleanser #skincare,pos,C:\Users\w ltsc\Desktop\tiktok_downloads\audio\7652769563142032662.wav,C:\Users\w ltsc\Desktop\tiktok_downloads\videos\7652769563142032662.mp4,"I am going to show you a cleanser after a long time, which is Hydrating Cream to Foam Cleanser. It has the texture of cream, so how can it be foamed? I am going to apply makeup on your face, so that you can remove the imperfections in your skin. I am going to remove it, and it contains Hyaluronic Acid and Amino Acid, and it also contains three essential ceramides. It protects the skin barrier. It hydrates the skin and cleans it as well. It is dry so you can feel the pain. It hydrates the skin and cleans the skin as well. I like this product very much. It is very easy to use. Some people use it for oil. Some people use it for oil. It cleans the skin and hydrates the skin as well. If you like this video, please like, share and subscribe to watch more videos like this.",sad
https://www.tiktok.com/@namhlancamani/video/7574837332616940818,"Back with Part 2 of my #MySkinMyDrama journey 💧 It’s been 3 weeks using @CeraVe Skin Care , and I’m already seeing progress! From cleansing to hydration, my skin is slowly finding its glow. Stay tuned for Part 3 where I’ll share my full honest review 💙#MySkinMyDrama #CeraVeSouthAfrica #CeraVeZA #SkincareJourney",pos,C:\Users\w ltsc\Desktop\tiktok_downloads\audio\7574837332616940818.wav,C:\Users\w ltsc\Desktop\tiktok_downloads\videos\7574837332616940818.mp4,"Hi Bandar Se, it's your friend Namsa and I'm back with part 2 of my Zeta V skin journey. It's been about a couple of weeks now and this is how my skin looks this morning. The drama is still there, but honestly it's finally calming down. I always start my routine with the Zeta V foaming cleanser. What I love about this cleanser is that it is gentle, doesn't dry out my skin and packed with ceramides which helps to repair the skin barrier and counts my inflammation. Then I go in with the Acne Control Gel. This one takes its breakouts, helps with the fade, dark marks and smooths my texture. And I always finish with the hydrating serum for moisture, softness and that healthy glow. And this is how my skin looks after washing. The correct grammar: clean and waking up with me. Stay tuned for part 3 on the next chapter of my skin drama and the full oneness progress.",neutral
https://www.tiktok.com/@livinglavidashop/video/7654306321025551647,I thought this cleanser was overhyped... until I tried it 👀✨ The CeraVe SA Cleanser might be the reason my skin feels smoother and less bumpy. Have you tried it yet? #cerave #ceravesacleanser #skincare #skincareroutine #beauty,pos,C:\Users\w ltsc\Desktop\tiktok_downloads\audio\7654306321025551647.wav,C:\Users\w ltsc\Desktop\tiktok_downloads\videos\7654306321025551647.mp4,"So I've been using the Cerave Renewing Essay Cleanser for a while now and it's become one of those products I keep repurchasing. If you have a rough skin texture or those little bumps that just won't go away, this cleanser can really help. It has salicylic acid so it gently exfoliates while you wash your face, but it doesn't leave my skin feeling tight or dried out afterward. I also like that it's fragrance free and works well on my sensitive skin. It's simple and affordable and just gets the job done. If you're looking for a cleanser to help smooth your skin over time, I think this one's definitely worth trying.",neutral
https://www.tiktok.com/@sunehri.store/video/7566225449710308628,"Acne aur pimples se tang ho? 😩 Ab pao CeraVe Blemish Control Cleanser — dermatologist tested formula! 🌸 Ye gently kare deep cleansing, oil control & blemish reduction 💫#creatorsearchinsights  #CeraVePakistan #BlemishControl #ClearSkin #AcneCare",pos,C:\Users\w ltsc\Desktop\tiktok_downloads\audio\7566225449710308628.wav,C:\Users\w ltsc\Desktop\tiktok_downloads\videos\7566225449710308628.mp4,"If you have acne, whiteheads, blackheads and large pores, I'm going to tell you two life-changing products. The first product is Blamish & Roll Cleanser by Ceraven. Why I love this cleansing? Because it contains three skin identical ceramides along with cell silicaiser, niacinamide and pure clay. It is paraven-free, fragrance-free, non-commetogenic, so it's extremely good for sensitive skin. It doesn't dry out your skin at all. But you'll see 40% improvement within one week, so I love this product.",neutral
