video_url,class,transcript,tone
https://www.tiktok.com/@coeliacmamlife/video/7642763078676876566,pos,,
https://www.tiktok.com/@akwaugoj/video/7563696105540619541,pos,,
https://www.tiktok.com/@oliviarhyin/video/7537456648680525086,pos,,
https://www.tiktok.com/@garbo.zhu/video/7628263557305568520,pos,,
https://www.tiktok.com/@shiv_sewlal/video/7577652722321689874,pos,,
https://www.tiktok.com/@rinavibez/video/7529589177394924823,pos,,
https://www.tiktok.com/@shamjhana.rijal/video/7652769563142032662,pos,,
https://www.tiktok.com/@namhlancamani/video/7574837332616940818,pos,,
https://www.tiktok.com/@livinglavidashop/video/7654306321025551647,pos,,
https://www.tiktok.com/@sunehri.store/video/7566225449710308628,pos,,
https://www.tiktok.com/@nipunkapur/video/7597807001724259602,pos,,
https://www.tiktok.com/@mariapamelaperez/video/7651796517736533262,pos,,
https://www.tiktok.com/@lukeeeskin/video/7516638617343642902,pos,,
https://www.tiktok.com/@nmanisub/video/7654087418584321310,pos,,
https://www.tiktok.com/@egyptianskincaregirl/video/7437961547084729607,neg,,
https://www.tiktok.com/@natalie_oneillll/video/7324377521313582368,neg,,
https://www.tiktok.com/@user2767845063268/video/7536126293537049887,neg,,
https://www.tiktok.com/@exploringholistically/video/7490663346824465710,neg,,
https://www.tiktok.com/@dailyglamwithshahad/video/7625022403818704158,neg,,
https://www.tiktok.com/@angelocaa/video/7496275336754121990,neg,,
https://www.tiktok.com/@julianyouhana/video/7652883515675004190,neg,,
https://www.tiktok.com/@illilx_/video/7589732185758879007,neg,,
https://www.tiktok.com/@theegeminiglow/video/7646814648318070030,neg,,
https://www.tiktok.com/@thementorg1/video/7631321178551897357,neg,,
https://www.tiktok.com/@sarah.lauraine/video/7559327356251327775,neg,,
https://www.tiktok.com/@princess.zeenah/video/7491022310393138437,neg,,
https://www.tiktok.com/@lawsuitguru/video/7646410261632404766,neg,,
https://www.tiktok.com/@prince_kkyy/video/7559045491355389214,neg,,
https://www.tiktok.com/@lauralou71/video/6995979118953155845,neg,,
https://www.tiktok.com/@stella_vitality/video/7647162972581776654,neg,,
https://www.tiktok.com/@annikaaleonaa/video/7448377587660754207,neutral,,
https://www.tiktok.com/@lisamarieunfiltered/video/7488011880573701398,neutral,,
https://www.tiktok.com/@brandondeejay/video/7623511949942279454,neutral,,
https://www.tiktok.com/@lbunch528/video/7633184822638185741,neutral,,
https://www.tiktok.com/@nurigallow/video/7600710847035428103,neutral,,
https://www.tiktok.com/@theblushingdoc/video/7411928718798507297,neutral,,
https://www.tiktok.com/@andrea.montxs/video/7644308968713522452,neutral,,
https://www.tiktok.com/@dr_narnah/video/7627603525152918806,neutral,,
https://www.tiktok.com/@stylefixbyjenny/video/7619770174522051862,neutral,,
https://www.tiktok.com/@fragileskinariana/video/7124957171103698218,neutral,,
https://www.tiktok.com/@the.leah.way/video/7595256149054688534,neutral,,
https://www.tiktok.com/@nemehjoseph/video/7597357899190504712,neutral,,
https://www.tiktok.com/@glowwithmayauk/video/7656987222285077792,pos,,
https://www.tiktok.com/@beauty_starts_within88/video/7653771794763189506,pos,,
https://www.tiktok.com/@itskaylabell/video/7652707725511593246,pos,,
https://www.tiktok.com/@tchaoskin/video/7559453084326300959,pos,,
https://www.tiktok.com/@shereenhamdy96/video/7493171765514980629,pos,,
https://www.tiktok.com/@aliaakamarr/video/7629051670428765458,pos,,
https://www.tiktok.com/@nealkshah/video/7647985851804192013,neg,,
https://www.tiktok.com/@natalie_oneillll/video/7472781932615601410,neg,,
https://www.tiktok.com/@parisglow4/video/7649394647239888135,neg,,
https://www.tiktok.com/@nirvannaluxbeauty/video/7645501360284224788,neg,,
https://www.tiktok.com/@wessie7582/video/7184919418315689262,neg,,
https://www.tiktok.com/@marinacristofani/video/7654358797099470101,neg,,
https://www.tiktok.com/@esraagalal21/video/7519570063616232712,neg,,
https://www.tiktok.com/@markland_/video/7524897279451385093,neg,,
https://www.tiktok.com/@tom_johnn/video/7645277971015617824,neg,,
https://www.tiktok.com/@chandre.campher/video/7581455789471124744,neutral,,
https://www.tiktok.com/@maielsamedy/video/7640181998950157588,neutral,,
https://www.tiktok.com/@tamunoabbey/video/7610869046971567382,neutral,,
https://www.tiktok.com/@janevisagie/video/7600259257413405959,neutral,,
